Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[  4.0063221   -2.29741744   4.46830191  -0.89369054 -56.83708407
   0.07062564  59.67422802  59.18855312  59.40999823]","[  2.43075677  -1.13152601   4.22403947  -0.78598344 -49.56436234
   0.07892477  52.18055203  51.78051328  51.90825791]","[ 3.44496478 -1.93475511  3.20444034  0.28113323  6.61433047 -0.7796154
 -3.94614125 -4.35181947 -4.16749461]","[ 1.74883961 -1.87369821 -3.23465783  6.67372747  4.31322834 -4.6881173
 -1.0919518  -1.55393482 -1.38191341]","[ 1.11131242 -2.09234945 -4.2397278   8.59876082  5.54904606 -4.84259454
 -1.85892469 -2.31931574 -2.16464039]","[ 2.91684501e+00 -1.38984323e+00  3.70153051e+00 -9.13758973e-03
 -1.70160560e+02  2.63185758e-02  1.72705960e+02  1.72282313e+02
  1.72472782e+02]","[ 3.19147444e+00 -1.72223586e+00  4.07128908e+00 -2.27273715e-01
 -1.07600509e+03  4.37697008e-03  1.07868052e+03  1.07826195e+03
  1.07847036e+03]","[ 1.64876763e+00  1.02165104e+00  4.51974247e+00 -2.81355509e+00
 -2.23742098e-09  4.74950865e+01  1.68798303e+00  1.27459233e+00
  1.49036411e+00]","[ 2.03394904 -1.83165    -1.18539645  4.83020134  4.01253492 -4.14027644
 -0.85449266 -1.31139764 -1.11685817]","[ 0.26613241 -2.61124371 -4.90061118 11.6252385   7.57470185 -5.26868274
 -3.04323827 -3.50685739 -3.29531349]",2189.25544,0.5507,8,0.0463,8,0.1648,8,0.0013,9,0.51414,0.50004,0.52415,0.4829,0.42932,0.50624,0.53656,0.55071,0.47215,0.01936
Batch_02,"[ 8.66136944e+00 -7.11443766e+00  1.91565032e+00  4.99742866e+00
  2.28457859e+03 -3.70644123e-03 -2.28177438e+03 -2.28121865e+03
 -2.28124554e+03]","[ 8.29013796e+00 -6.22987293e+00  1.61227685e+00  4.26074439e+00
  1.11481574e+03 -6.36169086e-03 -1.11226853e+03 -1.11177752e+03
 -1.11190040e+03]","[ 9.68671194e+00 -8.48940932e+00  2.49829698e+00  5.12765986e+00
  3.15890580e+03 -3.03228284e-03 -3.15560882e+03 -3.15508440e+03
 -3.15512929e+03]","[ 1.10744988e+01 -1.03263889e+01  2.78715081e+00  5.68189313e+00
  2.08971365e+03 -5.22374460e-03 -2.08587605e+03 -2.08532078e+03
 -2.08538308e+03]","[ 1.07858112e+01 -9.54840042e+00  2.17159577e+00  5.66959822e+00
  2.73665615e+03 -3.66316025e-03 -2.73316637e+03 -2.73262707e+03
 -2.73273329e+03]","[ 1.23142371e+01 -1.31239545e+01  4.88295467e+00  5.88937652e+00
  4.38627441e+03 -3.36798855e-03 -4.38099556e+03 -4.38042996e+03
 -4.38054462e+03]","[ 7.58871287e+00 -5.66252312e+00  2.99890403e+00  2.96621599e+00
  2.39827173e+03 -2.92023314e-03 -2.39558093e+03 -2.39512255e+03
 -2.39530647e+03]","[ 1.15097280e+01 -1.10549082e+01  2.45296606e+00  6.69434231e+00
  2.07178559e+03 -5.86116228e-03 -2.06775233e+03 -2.06720594e+03
 -2.06725973e+03]","[ 9.78969004e+00 -8.64851781e+00  2.60172354e+00  4.98166908e+00
  2.06715275e+03 -4.66904974e-03 -2.06374036e+03 -2.06321743e+03
 -2.06325519e+03]","[ 1.14118389e+01 -1.07103942e+01  2.68656083e+00  6.18635994e+00
  2.43759335e+03 -4.75126377e-03 -2.43367588e+03 -2.43314720e+03
 -2.43319878e+03]",16449.46033,0.793,6,0.0134,8,0.3551,7,0.0145,1,0.78581,0.78835,0.78945,0.78969,0.78305,0.79298,0.79189,0.78812,0.78504,0.78756
Batch_03,"[ 1.49535358e+01 -1.70278682e+01  2.61345857e+00  6.35193045e+00
 -3.51348222e+03  4.50971315e-03  3.52057244e+03  3.52061251e+03
  3.52082425e+03]","[ 7.13843241 -9.3332231  -8.73967462 16.56376464 10.17558084 -3.64651287
 -5.13816926 -5.13410959 -4.82507166]","[ 4.9901837  -6.07313307 -6.99091728 13.18387613  7.86818848 -3.92920259
 -3.83917908 -3.82605643 -3.56636709]","[ 12.5094746  -13.74484135  -1.49777868   9.49991021  18.19098766
  -1.01511753 -12.53884176 -12.53285918 -12.28831566]","[ 1.09546549e+01 -1.08657144e+01  2.40242922e+00  3.88929835e+00
 -2.08256498e+03  5.02896772e-03  2.08750646e+03  2.08751537e+03
  2.08776255e+03]","[ 0.75147269 -1.63871366 -7.50795708 12.81106699  7.04149184 -4.78209419
 -3.84629093 -3.87558344 -3.61306596]","[  9.34702686 -12.39443881  -6.55829603  15.48696938  11.61844536
  -3.12007519  -5.41616566  -5.40751392  -5.1113229 ]","[  0.11446953  -1.89787341 -11.26223899  17.50643552   8.65984121
  -5.63493432  -4.98008762  -5.01432162  -4.78870227]","[ 10.1501948  -10.30742252  -0.21902748   6.72521786  11.46298944
  -1.26844034  -6.86625431  -6.73381595  -6.57162526]","[ 9.60618103e+00 -9.45256952e+00  8.92653855e-01  5.38152344e+00
 -2.04875081e+03  5.24316222e-03  2.05307348e+03  2.05311268e+03
  2.05338808e+03]",9153.736138,0.5397,9,0.054,8,0.3776,9,0.0271,2,0.52618,0.51535,0.52944,0.52943,0.51879,0.51391,0.51871,0.53226,0.53965,0.51617
Batch_04,"[ 4.16614881e+00 -6.69980114e-01  5.07301380e+00 -2.67669252e+00
  5.88878851e+01 -9.34419799e-03 -5.65851374e+01 -5.72060917e+01
 -5.69465279e+01]","[ 3.99098289 -0.42933936  1.15111059 -0.44582692  1.59639694 -0.0130724
  0.41085958 -0.39458202 -0.10797725]","[ 3.07961598  0.63547331  5.9106458  -3.43412107  0.95045636  0.13151642
  1.13807969  0.39191562  0.61799991]","[ 5.99277241e+00 -3.12463356e+00  5.47967781e+00 -2.62781705e+00
  4.33008613e+02 -3.96042081e-03 -4.29769246e+02 -4.30443597e+02
 -4.30220535e+02]","[ 5.46856974e+00 -3.56240289e+00  6.24855850e+00 -1.27841582e+00
  1.07947782e+03 -4.38825702e-03 -1.07573194e+03 -1.07659041e+03
 -1.07632803e+03]","[ 4.33597118e+00 -2.26668070e+00  6.61132799e+00 -2.29017900e+00
  8.04152114e+02 -4.86524376e-03 -8.00588732e+02 -8.01445640e+02
 -8.01254146e+02]","[ 7.46233077e+00 -7.62593118e+00  9.75925532e+00 -9.10002247e-01
  2.40251790e+03 -4.70492351e-03 -2.39674944e+03 -2.39751934e+03
 -2.39728611e+03]","[ 6.97642216e+00 -6.00931415e+00  6.69670721e+00 -8.40400116e-01
  1.85706843e+03 -3.91888018e-03 -1.85234092e+03 -1.85309217e+03
 -1.85287855e+03]","[ 9.30160392e+00 -9.20062259e+00  7.58746501e+00 -6.18644383e-01
  2.48709809e+02 -3.97542805e-02 -2.42854452e+02 -2.43464152e+02
 -2.43377917e+02]","[ -9.36278243  10.91642967 -29.74789806  23.32876165   6.48844718
 -19.83258835  -4.89475163  -5.70326073  -5.42518813]",6705.869015,0.7766,10,0.0141,10,0.4594,10,0.0176,2,0.77005,0.76439,0.76929,0.76817,0.76539,0.76641,0.76826,0.76901,0.76734,0.77655
Batch_05,"[ 6.11883727 -9.20072829 -8.21855463 13.34543282  6.3071187  -7.26767336
 -0.1061013  -0.50676516 -0.30398968]","[ 4.82282507 -7.38460011 -3.38789428  9.87391221  6.22519832 -6.60072995
 -0.31609352 -0.84360925 -0.51753241]","[ 3.94358416 -5.63553806 -6.05075397 10.73349083  5.2807232  -7.58114862
 -0.36451473 -0.81668096 -0.5310804 ]","[ 4.67094575 -6.09864518 -2.1985402   8.32577144  5.37036552 -5.75613649
 -0.52334547 -0.95613037 -0.74382267]","[ 5.47093698 -7.51566215 -4.24750628  9.81117657  5.6171027  -6.10892955
 -0.23122194 -0.64662528 -0.43143727]","[ 3.13273568 -5.20631139 -7.47528865 12.45064568  5.7773108  -7.69712272
 -0.89076436 -1.25268735 -1.0564472 ]","[ 5.62332577 -6.34234604 -3.87254173  7.66353933  3.91328452 -6.33162015
  0.47425228  0.08193108  0.3150109 ]","[ 5.01985237 -5.96694285 -5.89458863  9.55534454  4.29002438 -6.79397751
  0.03050176 -0.35450807 -0.13864532]","[ 4.33020527 -6.19092028 -5.92720872 10.67944066  5.2396688  -7.52100944
 -0.17988986 -0.60606944 -0.34528672]","[ 4.88017123 -6.75831252 -5.3094075  10.74597454  5.70181459 -6.43055205
 -0.57855796 -1.02561719 -0.79427935]",53.48071009,0.6321,9,0.0169,9,0.2593,5,0.0029,1,0.61587,0.62707,0.62889,0.62513,0.62745,0.63082,0.62213,0.62479,0.63213,0.62155
Batch_06,"[ -4.09246547   5.49000718 -20.7593892   17.77282884   5.16490057
 -14.3367345   -3.77041443  -3.96055876  -3.75920893]","[ -1.41705176   2.18248867  -9.45243447  10.91841663   4.57979007
 -12.12981308  -1.89929402  -2.02553267  -1.81714444]","[  0.59294199   0.58871218 -10.18251992  10.57146108   3.71463139
 -12.23008271  -1.21598592  -1.44114933  -1.20640168]","[ -6.73606058   2.9727231  -26.40088171  28.96992352  10.76267148
 -10.26123663  -6.35311691  -6.55780745  -6.33735772]","[ 7.22007773e+00 -5.51763684e+00 -5.80649165e-01  1.94199839e+00
 -3.74377744e+02  1.25842461e-02  3.77541171e+02  3.77379077e+02
  3.77588942e+02]","[ -0.49686129   1.00770797 -10.6930917   12.12767224   4.65881402
 -10.42814828  -1.96508782  -2.1621894   -1.96203807]","[ -3.20160953   1.88854308 -17.97429628  19.49329282   7.11525341
 -12.31653377  -3.39906157  -3.55526473  -3.34286603]","[ -1.679596     0.56619449 -17.49432518  18.41124272   6.53831299
 -11.64014239  -2.83207096  -3.0378168   -2.82953142]","[ 6.55688405e+00 -6.03295818e+00  7.31756281e-01  2.82634174e+00
 -8.74415274e+02  1.15615083e-02  8.78386459e+02  8.78226703e+02
  8.78430250e+02]","[  7.94232783 -10.12106533  -0.85285542   7.59092162   6.77913903
  -4.540382    -0.52139924  -0.73294936  -0.47051638]",1911.343242,0.6527,7,0.0224,9,0.2978,6,0.003,8,0.62883,0.64037,0.63947,0.63672,0.64733,0.64844,0.65266,0.64771,0.65224,0.64864
Batch_07,"[ 6.21665244e+00 -1.88723364e+00 -2.08318971e+00  1.14851776e+00
  1.05297798e+03  3.22866685e-03 -1.05216609e+03 -1.05209420e+03
 -1.05235031e+03]","[ 5.25861282e+00 -4.43613459e-01 -3.93686263e+00  1.85555348e+00
  6.87347937e+02  6.22879708e-03 -6.87168838e+02 -6.87136056e+02
 -6.87352332e+02]","[ 5.20140756e+00 -3.05806473e-01 -2.81284548e+00  1.10802735e+00
  4.88446287e+02  7.36955527e-03 -4.88205182e+02 -4.88190884e+02
 -4.88279837e+02]","[ 6.91531088e+00 -3.94384172e+00 -3.86254639e+00  3.37319700e+00
  3.45124735e+01 -4.02779888e-03 -3.28257886e+01 -3.27017178e+01
 -3.29266036e+01]","[ 6.37556311e+00 -2.12638616e+00 -4.29089264e+00  1.91749528e+00
  1.00651067e+03  3.90158384e-03 -1.00570433e+03 -1.00567583e+03
 -1.00585382e+03]","[ 6.49316865e+00 -2.49549178e+00 -3.49440539e+00  2.13857265e+00
  5.44668823e+02  4.29345204e-03 -5.43602424e+02 -5.43563660e+02
 -5.43769543e+02]","[ 4.81862885e+00 -7.33642386e-02 -4.01850171e+00  1.98906507e+00
  1.43096243e+02  2.79457115e-02 -1.42965863e+02 -1.42870903e+02
 -1.43142691e+02]","[ 5.68172343e+00 -1.00591720e+00 -5.12706188e+00  2.73325896e+00
  6.21765935e+02  6.18151767e-03 -6.21463776e+02 -6.21445230e+02
 -6.21687709e+02]","[ 5.68524827e+00 -1.39827505e+00 -2.49033220e+00  1.31979124e+00
  9.04822597e+02  3.28418546e-03 -9.04088519e+02 -9.04015231e+02
 -9.04232186e+02]","[ 6.23859783e+00 -2.01362484e+00 -3.91295121e+00  2.23805803e+00
  8.55001225e+02  3.63636870e-03 -8.54218344e+02 -8.54201749e+02
 -8.54387275e+02]",4508.620198,0.5705,10,0.0459,7,0.3902,10,0.0169,1,0.56611,0.57022,0.56463,0.57035,0.56809,0.56909,0.56939,0.56901,0.57001,0.57052
Batch_08,"[ 3.72260307e+00 -6.75875124e-01 -1.75680895e+00  2.14228471e+00
 -5.59088410e+02  6.78045556e-03  5.60537115e+02  5.60650160e+02
  5.60534065e+02]","[  5.34970764  -9.29897788 -14.05807938  19.90899053   8.75784324
  -7.93703428  -2.00143186  -2.01940263  -2.07923168]","[ 5.38453582 -6.54547043 -7.33379824 11.76735397  5.55079866 -7.29377332
 -0.72164493 -0.60442159 -0.82538817]","[  4.2385787   -6.98338955 -11.68731133  16.2050034    6.98343674
  -8.7950939   -1.14466879  -1.05606725  -1.23480226]","[ 2.26239273 -3.12745817 -4.43245512 11.29071045  6.3344993  -6.6483857
 -2.26366466 -2.24868355 -2.38073059]","[  4.52016488  -7.02284992 -11.7484413   15.59435702   6.68051873
  -8.57802896  -1.02007019  -0.91704185  -1.07594701]","[  2.44601989  -3.74618251 -11.19898915  14.09188502   5.8164911
  -9.26599209  -1.35477724  -1.21043146  -1.41097973]","[ -0.66046296  -1.04403147 -24.44742281  21.01062809   6.50797839
 -12.3770004   -2.37009166  -2.25520297  -2.38333974]","[ 8.64286906e+00 -8.73105669e+00  1.95535926e+00  3.72761235e+00
 -1.12569271e+03  1.07836411e-02  1.13040683e+03  1.13052295e+03
  1.13035268e+03]","[  5.42552349  -8.59653176 -12.27804899  16.76059376   7.45518928
  -7.95433544  -1.15403512  -1.09964503  -1.24157402]",2522.162403,0.5188,5,0.0489,8,0.3798,5,0.0154,3,0.4995,0.50925,0.48428,0.506,0.51879,0.5094,0.50201,0.51497,0.48711,0.50664
Batch_09,"[ 1.37051119e+01 -1.85677706e+01  2.19040331e+01 -2.65270368e+00
  1.13144980e+03 -2.21612017e-02 -1.12154101e+03 -1.12050520e+03
 -1.12113297e+03]","[ 1.24392714e+01 -1.67898128e+01  2.11601945e+01 -3.40104147e+00
  3.46789629e+02 -6.69322709e-02 -3.37453491e+02 -3.36385807e+02
 -3.37073234e+02]","[ 1.35505215e+01 -1.92344412e+01  2.62463175e+01 -3.15614791e+00
  2.26899426e+03 -1.28591887e-02 -2.25832616e+03 -2.25733687e+03
 -2.25798969e+03]","[ 1.11762403e+01 -1.56496632e+01  2.48834617e+01 -3.85683044e+00
  2.27532830e+03 -1.16578719e-02 -2.26603748e+03 -2.26495651e+03
 -2.26569017e+03]","[ 1.27452388e+01 -1.50240849e+01  1.49689169e+01 -8.73752227e-01
  7.47286720e+02 -2.36876706e-02 -7.39848069e+02 -7.38868297e+02
 -7.39484077e+02]","[ 1.24039693e+01 -1.68715903e+01  2.46713745e+01 -3.82005543e+00
  1.23754344e+03 -2.03448820e-02 -1.22806690e+03 -1.22706889e+03
 -1.22769159e+03]","[ 1.10155365e+01 -1.45351954e+01  2.00708258e+01 -2.41662417e+00
  1.47369112e+03 -1.54019933e-02 -1.46536576e+03 -1.46435561e+03
 -1.46499247e+03]","[ 1.33738086e+01 -1.85292030e+01  1.68744485e+01  5.15933031e-01
  2.07763017e+03 -1.26336437e-02 -2.06779728e+03 -2.06685012e+03
 -2.06764169e+03]","[ 1.31545306e+01 -1.88075635e+01  2.52736060e+01 -3.42449097e+00
  4.10193058e+03 -6.72036983e-03 -4.09143233e+03 -4.09039286e+03
 -4.09099739e+03]","[ 1.59316084e+01 -2.27292292e+01  2.59139022e+01 -2.75451293e+00
  3.77230098e+03 -8.20726544e-03 -3.76037658e+03 -3.75930606e+03
 -3.76000064e+03]",14290.32297,0.4534,4,0.089,4,0.4552,4,0.0213,9,0.44262,0.45062,0.44533,0.45341,0.41828,0.44799,0.44683,0.44555,0.44598,0.44521
Batch_10,"[-34.52929823  31.00641297  23.65257821   6.96391525  21.97183159
  -9.9645755  -13.74455755 -13.61701778 -13.68676102]","[-16.01440413  13.14586216  15.50693339   4.32751803  16.37010323
  -9.54160276  -6.83400629  -6.67749469  -6.59135489]","[-31.15533772  33.14094167   9.96372841   7.54068427  15.685401
 -11.56519963 -12.32404806 -12.21645944 -12.13917776]","[-28.25594893  24.50450145  19.66435164   8.18440915  21.45192384
  -8.72044519 -12.80622276 -12.87765739 -12.93934224]","[-17.10164124   8.43836033  21.49011845   5.27901254  19.62969811
 -10.30050914  -4.86391463  -4.42536521  -4.5274941 ]","[-16.87795401   5.97943205  20.56714206   9.98379115  24.32954649
  -8.0687102   -8.45844013  -8.01138543  -8.27633982]","[-34.05944155  31.92662887  11.42281237  13.56344258  21.40015218
 -10.31792961 -15.05221381 -14.71384037 -14.85308804]","[-26.94363825  23.57004019  18.16942414   6.99468026  19.43287248
  -9.95160866 -10.7490914  -10.58539322 -10.63107219]","[-55.33109122  63.55982024   5.75212029  16.72280778  20.40702049
 -13.08288144 -25.07437587 -24.69325163 -24.93055892]","[-26.70567014  27.5776525   17.93483529   2.52617023  15.7459309
  -9.94870518 -10.7352909  -10.52498494 -10.59490438]",180.7996162,0.5366,7,0.0252,4,0.9184,7,0.0502,1,0.51957,0.52008,0.5298,0.53008,0.50854,0.53357,0.53662,0.53127,0.51839,0.53562
