Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[ 5.79297384e+00 -7.39132696e-03  2.17725511e+00 -2.83164940e+00
  3.37253077e+02 -3.42808878e+02 -3.42683266e+02 -3.42737016e+02
  3.76989690e+01  1.75528800e+00]","[ 6.25103077e+01  1.27774413e-03  1.98386143e+00 -2.51376673e+00
 -3.11038018e+01 -3.11341297e+01 -3.10090279e+01 -3.10507507e+01
  4.00628386e+01  7.82759564e-01]","[ 2.58228134e+00  5.28147733e-03  2.02869973e+00 -2.58352667e+00
  1.68930176e+02 -1.71397346e+02 -1.71257727e+02 -1.71325631e+02
  3.25777276e+01  3.17642132e+00]","[ 3.49735167e+01  2.84383566e-03  1.73693649e+00 -2.11282035e+00
  3.23482084e+02 -3.58497581e+02 -3.58358876e+02 -3.58411577e+02
  2.83167366e+01  4.66859711e+00]","[ 3.87347304e+01 -3.64866370e-03  2.38346848e+00 -3.14830277e+00
  1.51409613e+02 -1.89923513e+02 -1.89807023e+02 -1.89857444e+02
  3.63891356e+01  2.36304813e+00]","[ 6.36029006e+01 -3.00953398e-03  2.46289773e+00 -3.29849869e+00
 -2.01489391e+02  1.38195215e+02  1.38321488e+02  1.38253560e+02
  3.96299945e+01  1.49458345e+00]","[ 1.15770594e+01 -5.72045169e-03  2.13624986e+00 -2.65810839e+00
  1.65522933e+02 -1.76853037e+02 -1.76707875e+02 -1.76773612e+02
  4.15008279e+01  1.06911330e+00]","[ 6.84976753e+01 -3.93512371e-03  2.41940687e+00 -3.28860908e+00
 -2.05313869e+02  1.37140526e+02  1.37291849e+02  1.37229160e+02
  3.75344375e+01  1.90196354e+00]","[ 2.96396355e+00 -1.02532553e-02  2.16810390e+00 -2.79319170e+00
 -1.72734845e+02  1.70000271e+02  1.70124354e+02  1.70064104e+02
  3.79864438e+01  1.72349259e+00]","[ 1.35918040e+02 -2.64812855e-03  2.73485716e+00 -3.98749494e+00
  1.07810333e+02 -2.43271711e+02 -2.43130859e+02 -2.43191065e+02
  4.26024999e+01  6.14746838e-01]",1370.951693732387,0.8599,2,0.0149,3,0.0834,1,0.0003,3,0.8542500000000001,0.8599399999999999,0.8583299999999999,0.85867,0.8484399999999999,0.8528699999999999,0.8564299999999999,0.85686,0.85388,0.8015000000000001
Batch_02,"[ 2.04497762e+02 -1.71754672e-03  1.15940117e-01 -2.30348784e-01
 -2.91985123e+02  8.69348892e+01  8.69380612e+01  8.68577372e+01
 -1.85931283e+01  1.88891030e+01]","[ 1.83274543e+02 -2.21760540e-03  1.76731465e-01 -2.48756514e-01
 -2.85988161e+02  1.02200100e+02  1.02244924e+02  1.02156712e+02
 -1.63500711e+01  1.81600838e+01]","[ 9.01813712e+01 -4.85097301e-03 -1.49625372e-01  2.53564542e-02
  1.46087025e+02 -2.36805912e+02 -2.36839248e+02 -2.36926365e+02
 -1.91772959e+01  1.95379845e+01]","[ 1.46500483e+02 -2.86222193e-03 -1.11607244e-02 -1.58394808e-01
 -7.35043469e+01 -7.34662387e+01 -7.34950365e+01 -7.35583692e+01
 -1.64054726e+01  1.84346499e+01]","[ 5.42795579e+02 -1.20114306e-03 -2.73044966e-01  2.48546513e-01
 -6.54013879e+02  1.10552481e+02  1.10522674e+02  1.10466463e+02
 -2.30108405e+01  2.16567786e+01]","[ 1.19749431e+02 -3.07445368e-03  2.28727866e-02 -2.01577502e-01
  1.32770698e+02 -2.52980151e+02 -2.52991536e+02 -2.53057554e+02
 -1.69583686e+01  1.82269852e+01]","[ 2.33141584e+02 -1.77973119e-03 -6.40466702e-02 -9.14152935e-02
 -3.07854256e+02  7.41471862e+01  7.41120452e+01  7.40464154e+01
 -2.07929366e+01  1.98239580e+01]","[ 2.59606311e+02 -1.46131804e-03 -1.27254591e-01 -8.72111264e-02
 -3.19659897e+02  5.94718559e+01  5.93486076e+01  5.92848534e+01
 -2.08908034e+01  2.03120578e+01]","[-1.52371235e-03  5.45954222e+00 -3.12439336e-01  3.60021936e-01
  2.85835889e+02 -2.86389919e+02 -2.86414965e+02 -2.86465994e+02
 -1.63267998e+01  1.78935538e+01]","[ 1.40238249e+02 -2.35244115e-03  3.36675666e-02 -1.45256099e-01
  1.19535446e+02 -2.60292371e+02 -2.60317899e+02 -2.60379149e+02
 -1.77202548e+01  1.85949995e+01]",1561.5320595394167,0.9614,6,0.0007,6,0.1079,3,0.0014,2,0.96057,0.9595799999999999,0.96076,0.96086,0.9595,0.96137,0.9609300000000001,0.96099,0.9610899999999999,0.9613600000000002
Batch_03,"[-9.30190949e+01  1.76140920e-03  6.51088865e-01 -7.86460260e-01
  4.58327295e+01  4.63046393e+01  4.63373030e+01  4.62913372e+01
 -2.23645860e+01  2.06467985e+01]","[-9.24850745e+01  3.73137826e-03  5.68324236e-01 -8.12539096e-01
  5.27041606e+01  3.89594755e+01  3.89885603e+01  3.89412095e+01
 -2.36413736e+01  2.13059072e+01]","[  0.48655507  -3.25721774   0.7603971   -1.13209836  -0.55467688
  -0.5369489   -0.5149119   -0.58300203 -23.92147912  21.32605939]","[  0.76171572  -2.502317     0.85910093  -1.36997947  -0.77833926
  -0.49221227  -0.44879828  -0.49852616 -24.0981654   21.66043831]","[  0.7760366   -3.964668     1.02072844  -1.61097175  -2.44055367
   1.4321422    1.45291328   1.41070739 -21.34692663  20.16431319]","[-1.17049335e+02  1.51078619e-03  5.31604003e-01 -5.39462879e-01
  5.80388082e+01  5.80904626e+01  5.81517836e+01  5.80867795e+01
 -2.25244363e+01  2.08669365e+01]","[  0.71882456  -4.09720978   0.86918488  -1.27008734  -0.56660555
  -0.5855274   -0.55591903  -0.58816915 -25.19345557  21.76799703]","[-5.01336780e+01  2.78024411e-03  3.88322974e-01 -2.71033620e-01
  2.42020239e+01  2.48649534e+01  2.49051250e+01  2.48463635e+01
 -2.72695405e+01  2.25654112e+01]","[  0.65685716  -3.4543525    0.98677437  -1.45656104  -2.17589491
   1.10317416   1.14855307   1.10583569 -22.03857537  20.50530305]","[  0.8073113   -2.1632934    1.19576213  -1.96729908  -1.31939473
   0.13518327   0.18589795   0.15682659 -22.20307309  20.3768359 ]",274.48349962588014,0.9311,3,0.0036,5,0.1047,1,0.0015,5,0.9305199999999999,0.93043,0.9311400000000001,0.93089,0.9310700000000001,0.9309499999999999,0.9300599999999999,0.9308099999999999,0.9303000000000001,0.92721
Batch_04,"[ 2.54259489e+02  1.27852469e-03  1.65783271e+00 -1.51201449e+00
 -1.27710098e+02 -1.27130298e+02 -1.26925012e+02 -1.26921209e+02
 -2.53151843e+00  1.11562004e+01]","[ 3.37300055e+01  3.10807440e-03  2.47050918e+00 -2.97014926e+00
 -1.13159894e+02  7.90817735e+01  7.92256875e+01  7.92564368e+01
 -1.35015654e+00  1.02665532e+01]","[ 5.43959081e+01 -3.68424567e-03  2.46826133e+00 -3.54214305e+00
  1.65050811e+02 -2.19527508e+02 -2.19337083e+02 -2.19345975e+02
  1.05037705e+00  9.63207484e+00]","[ 2.06154758e+01  3.15711490e-03  1.96888512e+00 -2.39663480e+00
  2.77095951e+02 -2.98161079e+02 -2.97927141e+02 -2.97954330e+02
 -2.55312243e+00  1.12873815e+01]","[ 3.37377265e+02  8.59545512e-04  2.97382685e-01 -1.61796021e-01
 -1.69075774e+02 -1.69322837e+02 -1.68847317e+02 -1.69015751e+02
 -1.07090589e+01  1.57412321e+01]","[ 1.94201808e+02  1.42671647e-03  1.91493198e+00 -2.07546727e+00
 -9.73435073e+01 -9.73948633e+01 -9.71728900e+01 -9.71735975e+01
 -2.35240688e+00  1.09489339e+01]","[ 3.11664120e+01  3.25556824e-03  2.18613917e+00 -2.75790314e+00
  1.77565581e+02 -2.09082087e+02 -2.08885021e+02 -2.08881091e+02
 -1.06002356e+00  1.03802619e+01]","[ 4.52578027e+01  2.31760494e-03  2.02191407e+00 -2.47514300e+00
 -2.26701145e+01 -2.29593495e+01 -2.27658272e+01 -2.27683296e+01
 -1.92089188e+00  1.07129228e+01]","[ 3.72932825e+01  1.82038392e-03  1.82198440e+00 -2.02385441e+00
 -1.88413763e+01 -1.88705119e+01 -1.86863596e+01 -1.86842747e+01
 -3.03881098e+00  1.14194333e+01]","[ 3.33170239e+01  3.02676255e-03  2.05464858e+00 -2.25774053e+00
 -1.69052547e+01 -1.70476345e+01 -1.68255636e+01 -1.68435600e+01
 -6.20619689e+00  1.28148239e+01]",1076.2662519341602,0.8636,2,0.0633,2,0.1642,5,0.0086,2,0.86028,0.86363,0.8609500000000001,0.8591599999999999,0.82372,0.86054,0.8613900000000001,0.86112,0.86076,0.85982
Batch_05,"[ 1.30310574e-20  4.82858093e+01  1.97663498e+00 -3.25001994e+00
 -1.10804234e-01 -7.79825773e-02 -2.31563482e-02  9.59063100e-02
  4.91328320e+00  8.96709293e+00]","[ 1.46145461e-15  3.58135168e+01  1.94298514e+00 -3.30549680e+00
 -1.40155751e-01 -1.36836626e-01 -1.19224253e-01  1.45137632e-02
  8.91903605e-01  1.03268107e+01]","[-7.91948121e+01 -4.65928423e-03  1.57377777e+00 -2.35995047e+00
 -3.70000920e+02  4.48884036e+02  4.48895160e+02  4.49042868e+02
  4.99765391e+00  8.52365020e+00]","[-5.75725742e+00 -5.81457382e-02  1.67508918e+00 -2.05585052e+00
 -1.41720266e+03  1.42268068e+03  1.42273995e+03  1.42281638e+03
  7.93233113e+00  7.59184803e+00]","[-2.62182306e+01 -1.28528758e-02  1.67047480e+00 -2.31385465e+00
 -4.93539394e+02  5.19427821e+02  5.19442284e+02  5.19574088e+02
  5.66279832e+00  8.45589352e+00]","[ 1.33617231e+01  2.53010456e-02  1.62838098e+00 -2.21342633e+00
 -2.08753619e+02  1.94802406e+02  1.94838814e+02  1.94959100e+02
 -6.37489351e-01  1.10306717e+01]","[-9.13955673e+01 -5.64226682e-03  1.68790505e+00 -2.04702343e+00
 -3.64288482e+02  4.55450226e+02  4.55468219e+02  4.55596929e+02
  1.21258681e+01  5.90527444e+00]","[-2.96054077e+01 -3.83126133e-03  1.90775046e+00 -2.80627337e+00
  1.47472060e+01  1.46784574e+01  1.47509047e+01  1.48363071e+01
  8.07534493e+00  7.80054291e+00]","[-4.72885510e-01 -2.31230706e+00  1.67756815e+00 -2.36050146e+00
  6.10230469e+02 -6.10507314e+02 -6.10475870e+02 -6.10377438e+02
 -1.77529355e+00  1.14668560e+01]","[ 4.41432975e+01  3.93896568e-03  1.47992454e+00 -1.94570724e+00
 -2.26023271e+02  1.81414683e+02  1.81461338e+02  1.81574050e+02
  1.20498662e+00  1.07323771e+01]",3528.856691521087,0.86,2,0.0031,2,0.1429,1,0.0005,2,0.85975,0.8600099999999999,0.85828,0.8580400000000001,0.8590599999999998,0.85931,0.8584099999999999,0.8581899999999999,0.8585900000000001,0.85781
Batch_06,"[-4.13019892e+02  3.53386826e-03  1.91916231e+00 -5.31224465e+00
  2.05923253e+02  2.07316200e+02  2.07456003e+02  2.07375437e+02
 -7.86243789e+00  1.55073056e+01]","[-1.10301282e-06  1.38433034e+01  9.30383738e-01 -2.09992278e+00
  1.98701570e+02 -1.99309026e+02 -1.99147479e+02 -1.99191347e+02
 -4.90740861e+00  1.39329719e+01]","[-1.71502925e+02  6.95845075e-03  2.13777274e+00 -5.62698183e+00
  8.58602869e+01  8.57697426e+01  8.59017302e+01  8.58355839e+01
 -6.97749013e+00  1.47951117e+01]","[-1.23115826e+02  1.05866718e-02  2.44015441e+00 -5.96615127e+00
  6.17376968e+01  6.17361621e+01  6.18701159e+01  6.18037690e+01
 -4.84372930e-01  1.23494407e+01]","[-5.10556596e+00  2.21619329e-01  2.25942708e+00 -5.76331842e+00
 -3.97496398e+02  4.02790965e+02  4.02918485e+02  4.02856933e+02
 -4.30710275e+00  1.38793194e+01]","[ 2.79928313e+02 -3.82863206e-03  1.99757158e+00 -5.10383843e+00
 -3.39694129e+02  5.98457937e+01  5.99883123e+01  5.99331955e+01
 -5.31033473e+00  1.40963660e+01]","[-1.02455817e+00  8.13212808e-01  2.42300997e+00 -6.37056800e+00
 -5.41535259e+03  5.41644092e+03  5.41656997e+03  5.41652019e+03
 -4.77036443e+00  1.42910596e+01]","[ 5.23396870e+02 -2.47462623e-03  2.21207961e+00 -6.02801546e+00
 -4.58231684e+02 -6.48840092e+01 -6.47376463e+01 -6.47926812e+01
 -4.14722137e+00  1.36980018e+01]","[ 4.81086955e+02 -3.12750219e-03  2.54289655e+00 -6.94378316e+00
 -3.72093294e+01 -4.43180040e+02 -4.43047537e+02 -4.43113558e+02
  2.54036348e+00  1.10291176e+01]","[ 4.35045642e+02 -2.61696512e-03  2.18813745e+00 -5.56291113e+00
 -4.17316942e+02 -1.75501860e+01 -1.74105459e+01 -1.74678966e+01
 -4.08426228e+00  1.35557512e+01]",10975.72444380136,0.8857,8,0.0077,2,0.1308,6,0.001,7,0.8840399999999999,0.8854299999999998,0.8844000000000001,0.88278,0.8848800000000001,0.88567,0.88493,0.88573,0.88452,0.88545
Batch_07,"[ 4.78786822e-54  1.37297810e+02  5.78961533e-01 -6.10612350e-01
 -4.21837175e-01 -2.78373769e-01 -1.85538371e-01 -3.10567786e-01
 -1.27062108e+01  1.65357611e+01]","[ 1.10978301e-08  1.89712402e+01  5.36095206e-01 -8.98615840e-01
 -5.06228848e-01  5.13985861e-04  1.51173791e-01  5.52716542e-02
 -8.69426286e+00  1.45516085e+01]","[-2.96072902e+01  1.76033223e-03  4.90263448e-01 -6.43606028e-01
  1.45548502e+01  1.43529393e+01  1.44775384e+01  1.43843076e+01
 -1.14213750e+01  1.64018989e+01]","[ 8.95457000e-10  2.20665538e+01  4.57197966e-01 -3.85264585e-01
 -5.88845295e-01 -2.01059013e-01 -5.94171820e-02 -1.83561638e-01
 -1.49839977e+01  1.71978018e+01]","[ 2.41647248e-09  2.07277156e+01  4.13031770e-01 -4.52171562e-01
 -4.12758813e-01 -1.85478571e-01 -4.12590277e-02 -1.44530173e-01
 -9.91771043e+00  1.52608873e+01]","[-6.44558284e+01  1.84469464e-03  5.96502415e-01 -7.71189026e-01
  3.18275130e+01  3.20021101e+01  3.21297012e+01  3.20026058e+01
 -1.19020600e+01  1.63349756e+01]","[ 1.02780810e-07  1.65515493e+01  4.83944797e-01 -4.37790981e-01
 -2.44171352e-01 -3.29018840e-01 -1.91525089e-01 -3.13055116e-01
 -9.58075531e+00  1.50332371e+01]","[ 1.02292508e-61  1.57470335e+02  5.61459172e-01 -8.30092164e-01
 -2.23868095e-01 -4.09866388e-01 -2.78345239e-01 -3.92799758e-01
 -1.10330750e+01  1.57721861e+01]","[ 1.25340749e-24  6.06620694e+01  3.96385646e-01 -5.26381261e-01
 -3.25435904e-01 -3.70277396e-01 -2.42079336e-01 -3.54134853e-01
 -1.33603174e+01  1.66640572e+01]","[-1.80069688e+01  2.53852688e-03  4.69978332e-01 -3.55725382e-01
  8.45378127e+00  8.76791893e+00  8.88163087e+00  8.76334309e+00
 -1.35994030e+01  1.72715502e+01]",251.9595035704962,0.9368,8,0.0016,5,0.1152,9,0.001,3,0.9351100000000001,0.93651,0.93492,0.93646,0.9367699999999999,0.93545,0.93631,0.9368299999999999,0.93664,0.9349000000000001
Batch_08,"[-1.09210235e+02  5.79091218e-03  3.27051204e+00 -6.06748890e+00
  5.45690111e+01  5.41837868e+01  5.43400868e+01  5.42687059e+01
 -8.86885840e+00  1.38186369e+01]","[ 6.49396959e+01 -5.19720503e-03  2.67353433e+00 -4.51972463e+00
 -2.34021268e+02  1.68467317e+02  1.68649939e+02  1.68572455e+02
 -9.31575525e+00  1.36299978e+01]","[ 2.62638847e+02 -2.54261074e-03  2.90536621e+00 -5.53462288e+00
 -3.32637467e+02  6.95464778e+01  6.97034009e+01  6.96306725e+01
 -9.81772297e+00  1.42723017e+01]","[ 5.18865454e+01 -7.73926516e-03  3.06700121e+00 -5.49609234e+00
  1.74225000e+02 -2.26443763e+02 -2.26293508e+02 -2.26354426e+02
 -3.73442867e+00  1.12240347e+01]","[ 1.64824695e+02 -4.96840887e-03  3.52472619e+00 -7.10781534e+00
  1.15580862e+02 -2.80435885e+02 -2.80292017e+02 -2.80353483e+02
 -2.39699187e+00  1.10411756e+01]","[ 2.63294140e+02 -2.38409022e-03  3.06420040e+00 -5.96106650e+00
 -3.33651877e+02  7.00373931e+01  7.01863659e+01  7.01120353e+01
 -7.79869377e+00  1.30726254e+01]","[ 2.24757962e+02 -2.23051430e-03  2.62613106e+00 -5.11630879e+00
 -3.14269150e+02  8.90118743e+01  8.92067935e+01  8.91114819e+01
 -1.00165936e+01  1.40262800e+01]","[ 9.41128925e+01 -4.46467280e-03  2.89366902e+00 -5.31691386e+00
  1.53500938e+02 -2.48060337e+02 -2.47877127e+02 -2.47956760e+02
 -7.69247167e+00  1.27678494e+01]","[ 6.12160647e+00 -1.18024346e-02  2.09699557e+00 -2.80195205e+00
  1.97478476e+02 -2.04380585e+02 -2.04219970e+02 -2.04297876e+02
 -8.92110265e+00  1.36143013e+01]","[ 1.03022349e+02 -5.01095721e-03  2.58276265e+00 -4.82252969e+00
  1.46159943e+02 -2.49688115e+02 -2.49512058e+02 -2.49584076e+02
 -9.30591761e+00  1.39278429e+01]",1340.3391711831334,0.8039,8,0.0325,8,0.1456,3,0.0008,8,0.79891,0.80336,0.79755,0.80169,0.79863,0.7983100000000001,0.7989700000000001,0.80389,0.7981,0.79974
Batch_09,"[ 7.66254787e+01  3.84851317e-03  1.48467111e+00 -1.64214783e+00
 -4.31562725e+01 -3.38981757e+01 -3.39120809e+01 -3.38385004e+01
 -8.30317169e-01  9.65709669e+00]","[ 8.39035659e+01  5.34591385e-03  1.39388127e+00 -1.16528608e+00
 -4.21746068e+01 -4.22496586e+01 -4.22835989e+01 -4.22016018e+01
 -4.69837312e-01  9.45710111e+00]","[ 1.32016676e+01  3.09298822e-02  1.52804734e+00 -1.51923696e+00
 -2.10661058e+02  1.96828025e+02  1.96821563e+02  1.96891333e+02
 -2.96794298e+00  1.06105873e+01]","[ 8.37284039e+01  3.07480678e-03  1.80752915e+00 -2.40817726e+00
 -4.21162307e+01 -4.21299125e+01 -4.21535415e+01 -4.20722940e+01
 -2.99127740e+00  1.06122863e+01]","[ 1.93315705e+02  2.38055292e-03  1.17087216e+00 -9.13053941e-01
 -9.68993313e+01 -9.69098456e+01 -9.69207995e+01 -9.68597615e+01
 -8.24578313e-01  9.49467883e+00]","[-1.1899955  -0.75052808  1.46122364 -1.33391034  0.26889425  0.23820273
  0.23985659  0.30855167 -0.0611719   9.24738749]","[ 1.98057527e+02  2.47924450e-03  1.55393119e+00 -1.56728317e+00
 -9.90348317e+01 -9.94816549e+01 -9.94886213e+01 -9.94151926e+01
  7.67830228e-01  8.67343729e+00]","[ 9.09770684e-04  5.15601855e+00  1.85977021e+00 -2.34370401e+00
 -4.08608353e-01 -2.76615818e-01 -3.28273609e-01 -2.46314057e-01
 -1.14218196e+01  1.39645921e+01]","[ 1.81692578e+02  3.11654130e-03  1.30159361e+00 -8.68278040e-01
 -9.08458384e+01 -9.14149048e+01 -9.14326774e+01 -9.13474391e+01
 -1.51562088e-02  9.18865348e+00]","[-1.13873452e+00 -8.84579751e-01  9.59806684e-01 -1.66713268e-01
 -5.11749644e+02  5.11881069e+02  5.11874770e+02  5.11964951e+02
 -6.05230936e+00  1.20820733e+01]",1212.2718584732836,0.8977,8,0.0028,7,0.1212,4,0.0008,6,0.8966800000000001,0.89714,0.8958299999999999,0.89699,0.89628,0.8955299999999999,0.8971199999999999,0.89768,0.89695,0.8952899999999999
Batch_10,"[ 1.94270331e+02  2.15327570e-03 -3.85001769e-01  1.61003802e+00
 -9.69010909e+01 -9.70019463e+01 -9.70726606e+01 -9.70406966e+01
  1.07120445e+00  7.67323023e+00]","[ 3.51593171e+02  1.67394455e-03 -1.14115208e-01  1.95048989e+00
 -1.75700655e+02 -1.75642305e+02 -1.75679849e+02 -1.75676267e+02
  1.89665374e+00  7.05588704e+00]","[ 2.88305041e+02  2.57262416e-03 -1.33839308e-01  2.13634469e+00
 -1.44131798e+02 -1.44105582e+02 -1.44154777e+02 -1.44140704e+02
  1.92756013e+00  7.20468815e+00]","[ 3.21812598e+02  1.82249515e-03 -3.36576215e-01  2.33340942e+00
 -1.60618028e+02 -1.60977894e+02 -1.61030705e+02 -1.61035924e+02
  1.23759906e+00  7.53715806e+00]","[ 2.80237648e+02  2.67341074e-03 -7.10578113e-01  3.30368993e+00
 -1.40030736e+02 -1.40040373e+02 -1.40072356e+02 -1.40063985e+02
  1.45128473e+00  7.31648946e+00]","[ 6.50593966e+01  1.07119008e-02  9.12577476e-03  1.52540529e+00
 -3.24724564e+01 -3.24382318e+01 -3.25062093e+01 -3.24824960e+01
  1.89966119e+00  7.12050088e+00]","[ 1.35420216e+02  2.16465393e-03 -7.83598185e-02  9.72411663e-01
 -6.77872988e+01 -6.72309707e+01 -6.72741279e+01 -6.72300414e+01
  9.76969189e-01  7.72165250e+00]","[ 3.37085315e+02  2.31600858e-03 -3.30829736e-01  2.58746942e+00
 -1.68436305e+02 -1.68436846e+02 -1.68467240e+02 -1.68463155e+02
  2.72070238e+00  6.44330370e+00]","[ 7.85134740e-14  3.20043912e+01 -1.76070119e-01  1.95813419e+00
  2.21498767e+02 -2.20836320e+02 -2.20903664e+02 -2.20869052e+02
  2.00854648e+00  7.16717976e+00]","[ 5.01188303e+02  1.80104491e-03 -2.70389990e-01  2.39089829e+00
 -2.52156835e+02 -2.48917066e+02 -2.48965085e+02 -2.48937793e+02
  2.02051615e+00  6.77903766e+00]",1350.0349054647552,0.9483,10,0.001,7,0.1673,5,0.0009,4,0.9471700000000001,0.94744,0.94693,0.94786,0.94771,0.9476300000000002,0.9477599999999999,0.94596,0.9440500000000001,0.94833
