Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[ -3.8168524    0.43102527 -11.86217576  15.00993597   5.84729385
  -6.26038077  -4.44711964  -4.31198009  -4.3697353   43.94407058
   0.21684601]","[-1.80930833e+00  2.53099884e+00 -1.28618772e+00  1.44354017e+00
 -3.79485578e+01 -2.58676531e-03  3.75267307e+01  3.76790918e+01
  3.76325969e+01  5.16808379e+01 -2.20979346e+00]","[-1.03969366  1.63049675 -1.75009054  1.76266579 -0.14020711 -0.047858
 -0.5223783  -0.36020841 -0.43628229 30.74336981  4.04714866]","[-1.49555499e+00  2.09380148e+00 -9.47522307e-01  1.26903594e+00
 -1.78566596e+01  4.02551099e-03  1.72571434e+01  1.74147198e+01
  1.73574341e+01  3.66235986e+01  2.48176270e+00]","[-1.05384838e+00  1.62273204e+00 -2.06910165e+00  2.03144490e+00
 -5.78789097e-02 -7.08473359e-03 -7.59909727e-01 -6.21157461e-01
 -6.74587831e-01  2.80448632e+01  5.30875377e+00]","[-1.16163373e+00  1.44962747e+00 -1.09827391e+00  2.06315430e+00
 -5.21647761e+02  2.37584703e-03  5.21352150e+02  5.21493794e+02
  5.21423842e+02  4.17058939e+01  1.11967697e+00]","[-1.33296452e+00  1.71450490e+00 -8.31026838e-01  1.72581899e+00
 -3.71606460e+02  2.28927940e-03  3.71350054e+02  3.71514295e+02
  3.71443597e+02  4.86905062e+01 -8.37287516e-01]","[-1.06748547e+00  1.28664230e+00 -9.37046894e-01  2.06611687e+00
 -6.01800580e+02  2.40692315e-03  6.01644676e+02  6.01809360e+02
  6.01740741e+02  4.34232597e+01  2.63986774e-01]","[-1.56919643e+00  2.24932278e+00 -1.71557315e+00  1.68954965e+00
 -9.84948688e+01 -1.98707048e-03  9.77811855e+01  9.79313694e+01
  9.78618942e+01  3.79064515e+01  2.11692088e+00]","[-1.25601482e+00  1.60567970e+00 -2.67237117e+00  2.63782511e+00
 -2.68512345e+02  2.50412784e-03  2.67856086e+02  2.68026105e+02
  2.67952089e+02  3.59716270e+01  3.19769174e+00]",1854.2010771112912,0.872,1,0.0134,1,0.078,1,0.0002,3,0.8719800000000001,0.8629399999999998,0.8543,0.86255,0.83823,0.8553700000000001,0.8613099999999999,0.8598700000000001,0.85307,0.73398
Batch_02,"[-2.44732368e+00  3.26491915e+00 -2.26171856e+00 -6.73908500e-03
  1.59193009e+00  1.39634360e+00 -3.40140362e+00 -3.43506411e+00
 -3.51967986e+00 -1.67448046e+01  1.81951041e+01]","[ -1.86514158   2.39674419  -1.87314786   0.16448012   1.01245683
   1.58077124  -2.50429691  -2.49889324  -2.58995402 -14.91482882
  17.57886105]","[ -2.52001782   3.29823605  -1.97012932  -0.39170181   2.11668353
   1.16828459  -3.89120626  -3.9505732   -4.04233071 -16.11980841
  18.27175291]","[-3.36737698e+00  4.62188442e+00 -1.63820740e+00 -1.23856531e+00
 -1.85700637e+03 -2.43749780e-03  1.85489139e+03  1.85487605e+03
  1.85480417e+03 -1.12446028e+01  1.63297542e+01]","[ -3.1208651    3.95353168  -2.17400107  -0.83554513   4.42011121
   0.81669466  -6.6113754   -6.66414527  -6.7251479  -19.39046312
  20.20681239]","[ -2.65947609   3.56685036  -2.39029428  -0.16702424   1.6004227
   1.51056093  -3.43329052  -3.49454068  -3.56181097 -15.05855124
  17.59692057]","[ -3.00119461   4.22072734  -3.28765912  -0.11322594   3.84182007
   0.95076879  -6.11287285  -6.17351525  -6.23752834 -17.4868416
  18.55841435]","[ -1.61748192   1.97005482  -0.27438623  -0.99453979  -6.47140854
  -0.31807077   5.23814828   5.13111862   5.06270595 -17.41548271
  18.80690874]","[ -2.73505898   3.70729759  -1.92952483  -0.43559191   2.52788595
   1.04190631  -4.30955172  -4.34840262  -4.40223727 -13.91087266
  16.83338218]","[-3.01349129e+00  4.42370964e+00 -2.12386374e+00 -8.74603336e-01
 -2.10701557e+03 -2.23667026e-03  2.10476708e+03  2.10475208e+03
  2.10468660e+03 -1.41670954e+01  1.71311976e+01]",5613.003943321508,0.9625,10,0.0005,7,0.1064,3,0.0011,7,0.9616,0.9610099999999999,0.96198,0.9619700000000002,0.9606200000000001,0.96243,0.9618,0.96194,0.9622299999999999,0.96248
Batch_03,"[-1.22978348e+00  2.70084412e+00 -3.48839757e+00  1.03605144e+00
 -1.08671696e+03 -3.45077629e-03  1.08413050e+03  1.08415945e+03
  1.08413520e+03 -2.52580769e+01  2.17679123e+01]","[ -2.12081946   3.30480636  -3.52860536   1.30896318   1.24580125
   1.74606226  -3.7865203   -3.76919729  -3.7991612  -24.71907903
  21.6613145 ]","[ -2.45988105   4.33925605  -4.59857128   1.16630762   4.83233255
   0.85033643  -7.95077539  -7.93938944  -7.98855916 -25.17948156
  21.79216321]","[ -2.2786935    3.60490451  -3.90913849   1.35791829   1.40794987
   1.78432007  -4.17020882  -4.13941821  -4.17115215 -25.56718012
  22.19976873]","[ -2.05333317   3.7571237   -4.19683725   1.28437853   3.72627553
   0.94800476  -6.5825617   -6.56989603  -6.59507375 -23.58243261
  21.06167036]","[ -0.92528413   1.73335773  -3.59516137   1.96633822   0.31939006
   3.19652893  -2.42327452  -2.38598555  -2.42797269 -25.11114108
  21.85314296]","[ -2.48122109   4.57193329  -4.92555524   1.35832106   4.93049798
   0.90160861  -8.34117652  -8.32236991  -8.32285384 -27.58973953
  22.6625622 ]","[-1.68503421e+00  3.29002433e+00 -3.31385698e+00  3.65194927e-01
 -1.16258776e+03 -4.05770566e-03  1.15972193e+03  1.15976135e+03
  1.15971854e+03 -2.91686693e+01  2.33012616e+01]","[ -2.75240684   4.601702    -4.65738359   1.55379149   2.1967293
   1.51146608  -5.33895686  -5.30903987  -5.33186547 -23.62260286
  21.10129742]","[ -1.85191157   2.69385824  -3.52469808   1.94574659   0.18221311
   4.18961532  -2.38580497  -2.35398513  -2.36562146 -23.78430809
  20.99922521]",3178.999466034202,0.9361,6,0.0033,6,0.101,1,0.0016,4,0.93549,0.9352500000000001,0.9359200000000001,0.9354400000000002,0.93604,0.93607,0.93428,0.93557,0.9349999999999999,0.9316400000000001
Batch_04,"[ -7.98899871  14.48053949 -11.40469187  -0.13329722 -69.49955858
  -0.25331164  62.68055493  62.88129576  62.87870002  -1.58506472
  10.84853   ]","[ -7.39485583  14.04426173 -11.4893819   -0.07899243 -22.25965921
  -0.88713875  15.45300902  15.58628046  15.61573401  -1.33295845
  10.30388766]","[-6.65574946e+00  1.18111635e+01 -1.08280958e+01  1.36471018e+00
  3.85040234e+03  3.31125622e-03 -3.85598181e+03 -3.85577364e+03
 -3.85579697e+03  2.78721401e-01  1.01295350e+01]","[ -6.93565179  12.84448185 -10.60667372  -0.25814602 -22.603874
  -0.79017416  16.24611312  16.47330271  16.4341755   -3.5914442
  11.95007558]","[ -6.02821965  10.55632675  -4.21859856  -2.72531376 -13.54554434
  -1.04974145   8.34632091   8.74609953   8.60040264  -9.33324341
  15.13918725]","[ -7.3057976   13.57249787  -9.88932321  -0.7338347  -22.01494183
  -0.84447805  15.42512652  15.63287482  15.62657155  -3.2915973
  11.59584785]","[-8.68260957e+00  1.59180354e+01 -1.51707562e+01  1.05669422e+00
  6.70102825e+03  2.86997740e-03 -6.70877823e+03 -6.70854189e+03
 -6.70857006e+03 -2.58063437e+00  1.14043126e+01]","[ -7.29222109  13.44904378 -10.5178507   -0.41368801 -23.89185167
  -0.76578663  17.39048223  17.57531635  17.55751964  -2.98429188
  11.43469663]","[-7.50391877e+00  1.33206766e+01 -1.15937983e+01  6.39529001e-01
  4.33761604e+03  3.55454766e-03 -4.34401284e+03 -4.34381374e+03
 -4.34382462e+03 -3.27050195e+00  1.18528945e+01]","[ -7.02551144  12.86485114 -11.0795415    0.42717842 -42.05021337
  -0.38773582  35.59820151  35.82453744  35.79452883  -6.33701127
  13.03625193]",17742.75097422344,0.8832,2,0.0368,2,0.1539,5,0.0061,2,0.87881,0.8831700000000001,0.87927,0.87827,0.8358599999999999,0.8790699999999999,0.88085,0.87999,0.8789100000000001,0.8789399999999998
Batch_05,"[-1.27324209e-01  7.86395727e-01 -3.22241744e+00  3.11123795e+00
  2.82730480e+02 -3.95717095e-03 -2.83619543e+02 -2.83494684e+02
 -2.83448258e+02  5.32362872e+00  8.78129183e+00]","[-3.61354370e-02  5.08217924e-01 -3.96750775e+00  3.62020067e+00
  1.30516438e+02 -1.27408347e-02 -1.31468034e+02 -1.31359321e+02
 -1.31319432e+02 -1.79228754e-01  1.08235726e+01]","[ 0.29065509  0.41267897 -4.03793275  3.30281843 -0.01261324 12.20651573
 -0.89504632 -0.77406644 -0.73877867  2.49541158  9.4956211 ]","[-2.44419880e-01  9.43582770e-01 -2.45509385e+00  2.63570007e+00
  1.51526164e+02 -5.91271319e-03 -1.52317923e+02 -1.52209871e+02
 -1.52181542e+02  7.03428770e+00  7.95240158e+00]","[-3.72515770e-01  1.24162691e+00 -3.38546614e+00  3.05406462e+00
  1.73152915e+02 -4.30415215e-03 -1.74167901e+02 -1.74075921e+02
 -1.74023643e+02  5.71309358e+00  8.40483027e+00]","[  1.01538331   0.53155245   0.57623144  -0.86518683  -1.13584253
 -17.17420822  -0.52139152  -0.40348222  -0.37237163  -1.04517953
  11.40390492]","[-7.41722710e-01  2.23998222e+00 -5.59751478e+00  3.90551080e+00
  1.80986027e+02  4.14646340e-03 -1.82438744e+02 -1.82305187e+02
 -1.82301534e+02  1.23277648e+01  5.76852956e+00]","[ 5.61253550e-02  4.46399482e-01 -3.24278436e+00  3.38090173e+00
  2.60055420e+02 -6.16559261e-03 -2.60707557e+02 -2.60568456e+02
 -2.60554689e+02  8.21399865e+00  7.59480958e+00]","[-9.85469551e-01  2.17162287e+00 -4.04411192e+00  3.16365238e+00
  3.48428855e+00  4.40939017e-03 -5.13831179e+00 -5.02643354e+00
 -5.01280022e+00 -8.39097733e-01  1.10985061e+01]","[-1.73115181e+00  3.27764517e+00 -3.51791207e+00  2.22639294e+00
  5.08896909e+02  3.20913241e-03 -5.10788743e+02 -5.10672151e+02
 -5.10631807e+02  5.60117498e+00  9.25353024e+00]",1431.9946660606288,0.8648,6,0.0034,2,0.1405,6,0.0006,2,0.8615499999999999,0.8608600000000001,0.8623,0.8612100000000001,0.86262,0.86479,0.8607400000000001,0.8613099999999999,0.8622099999999999,0.8604800000000001
Batch_06,"[-3.35902787  0.06728129 -7.75143199  9.84673682  4.18517117 -9.11386201
 -3.25132548 -3.11126015 -3.19357165 -9.30175315 15.95518541]","[ 1.26412531e+00 -1.04969642e+00  3.74112111e+00 -2.18921862e+00
 -8.49387897e-01 -4.38062055e+01 -1.98175586e-01 -3.54841018e-02
 -8.29355665e-02 -7.57570800e+00  1.49898763e+01]","[-3.48622891  1.02140039 -8.80133532  9.88318334  3.7687293  -8.97864743
 -3.43583755 -3.30212563 -3.37199318 -7.12380358 14.77994655]","[-3.48863578  0.79899907 -8.07784976 10.00962363  4.04127275 -8.37764222
 -3.42495689 -3.29344905 -3.3604094  -2.15633746 12.84361956]","[-2.61499976  0.82074058 -5.7782812   6.99983259  2.83238325 -7.92823797
 -2.77917341 -2.6515387  -2.71682035 -4.65695097 13.96331702]","[-3.84908541  2.2078903  -6.74250754  7.92154677  3.03215726 -9.34623296
 -3.17006879 -3.02865112 -3.08681263 -3.00326354 13.11730732]","[-2.68591033  1.24041914 -5.67062016  6.49367225  2.57952479 -7.39885306
 -2.90082843 -2.77319647 -2.8269943  -5.38365694 14.47114322]","[-3.83528064  2.36953726 -6.03799786  7.23155174  2.89401995 -8.76418539
 -3.10769003 -2.96390418 -3.01954418 -1.31419866 12.51490417]","[-4.28213991  2.39772487 -6.63769291  8.37555553  3.47933412 -8.70953854
 -3.22298881 -3.09149323 -3.1604171   4.54091054 10.19984771]","[ -6.14262912   4.90218918 -10.16888799  10.13927899   3.27405464
 -11.49335688  -4.07771946  -3.94106975  -4.00295992  -1.31686007
  12.45814446]",80.84687462893363,0.8886,8,0.008,8,0.1289,6,0.0011,7,0.88545,0.88577,0.8861800000000001,0.88269,0.8869400000000001,0.8883700000000001,0.8867899999999999,0.88859,0.88751,0.8880800000000001
Batch_07,"[ 2.20446800e+00 -3.19089410e+00 -5.78131324e-01  1.36297973e+00
  2.62535548e+02 -7.23464460e-03 -2.62210349e+02 -2.62118688e+02
 -2.62249103e+02 -1.41558933e+01  1.71809071e+01]","[ 2.93429309 -3.75729944 -0.42640298  0.85866346 -0.04860132  7.98498622
  0.61781892  0.76138525  0.65242615 -9.8411665  15.07633204]","[ 2.64452040e+00 -3.91743972e+00 -6.29025316e-01  1.44526747e+00
  5.20363449e+02 -4.42153290e-03 -5.19820262e+02 -5.19693624e+02
 -5.19794420e+02 -1.38607608e+01  1.73747230e+01]","[ 3.44552202e+00 -4.89645422e+00 -6.61884177e-01  1.48224363e+00
  5.44626985e+02 -4.09760997e-03 -5.43902639e+02 -5.43769430e+02
 -5.43901038e+02 -1.84581281e+01  1.87632834e+01]","[ 2.68876402e+00 -3.80700471e+00 -9.86766805e-01  1.45863831e+00
  4.50482527e+02 -4.12502067e-03 -4.49913813e+02 -4.49778613e+02
 -4.49885180e+02 -1.17424005e+01  1.61918646e+01]","[  2.67234807  -3.60603363  -0.35876466   0.89669524  -0.03110493
   9.24302342   0.40404605   0.53473658   0.3933001  -13.55359061
  16.94736358]","[ 2.49677901e+00 -3.34048691e+00 -7.86879887e-01  1.25843474e+00
  3.51840620e+02 -3.84527059e-03 -3.51427511e+02 -3.51298600e+02
 -3.51423767e+02 -1.10100152e+01  1.57383523e+01]","[  3.07572945  -4.13415125   0.03800881   0.75023161  -0.07973903
   7.15215658   0.70141612   0.83062078   0.70558579 -12.77958596
  16.52404037]","[  3.27213399  -4.42568229   0.56905082   0.27681017  -0.03442872
   9.40373369   0.76618569   0.89819993   0.77588442 -14.41444141
  17.10747709]","[  2.93384933  -4.00930548  -1.10445683   1.34679867  -0.05224369
   7.5035431    0.41905013   0.53178594   0.40013899 -15.30822774
  17.8947446 ]",1962.1371786156828,0.9382,8,0.0016,2,0.1141,9,0.001,10,0.93617,0.93794,0.93696,0.9371700000000001,0.9375900000000001,0.9381,0.9372600000000002,0.9382400000000001,0.9381,0.93733
Batch_08,"[-0.46240437  4.18418239 -3.97628723 -2.26323632 -3.26791715 -9.56175681
 -0.81282505 -0.66075387 -0.74436793 -8.18464853 13.58758036]","[ -0.07823665   4.13363456  -1.51502765  -4.2397357   -3.71976686
 -10.3346466   -0.52020793  -0.34368288  -0.43978622  -9.06841147
  13.74135827]","[-0.85010469  4.9770679  -1.96036633 -3.91200527 -3.64505076 -9.84033696
 -0.77006341 -0.6256516  -0.7063575  -8.38163817 13.75227261]","[  1.67547349   2.79827691   2.60876456  -7.18814172  -4.40012604
 -12.07281677   0.4035319    0.54053608   0.47398327  -2.87184133
  11.02767666]","[ -0.49741505   4.46522109  -1.93200639  -3.45975569  -3.29515744
 -11.22949654  -0.61783168  -0.48910101  -0.55684618   0.42306237
   9.98693819]","[-1.20902054  5.50267873 -2.87476374 -3.27462603 -3.52277664 -9.89714397
 -0.9605481  -0.82364041 -0.9022136  -6.29942769 12.55326218]","[ -0.6986444    5.49283836   1.91366044  -6.71084366  -4.17971513
 -10.82106032  -0.57755392  -0.39387841  -0.49712061  -7.95620291
  13.25903666]","[ -0.4842141    4.42103891  -2.01588342  -3.428101    -3.32229182
 -10.3089949   -0.71225223  -0.54275732  -0.62957463  -6.61965546
  12.40165677]","[-3.14383296e+00  5.89263747e+00 -9.78160470e+00  3.25234347e+00
  1.08177702e+03  5.68237100e-03 -1.08548717e+03 -1.08533911e+03
 -1.08542745e+03 -7.93450554e+00  1.32361487e+01]","[-3.38923580e+00  6.13880672e+00 -1.12353333e+01  3.89283855e+00
  1.68803245e+03  3.41959209e-03 -1.69190740e+03 -1.69174910e+03
 -1.69183772e+03 -8.71374104e+00  1.37044859e+01]",4018.066583566963,0.8177,8,0.0286,8,0.1374,3,0.001,8,0.8139199999999999,0.8164999999999999,0.81131,0.8152100000000001,0.81273,0.81233,0.8127500000000001,0.81767,0.8048500000000001,0.80663
Batch_09,"[-3.68597476e+00  7.05579694e+00 -5.72479137e+00  1.37337886e+00
 -2.40918690e+02 -2.82452773e-02  2.37333136e+02  2.37293684e+02
  2.37375334e+02 -6.71590077e-01  9.69226861e+00]","[-2.60840436  5.18038643 -5.28237513  1.86440637  2.57239193  1.59849096
 -5.3632022  -5.42244945 -5.32989336 -1.32027141  9.9307572 ]","[ -2.49508635   5.22617042  -5.94305991   1.8333904   15.5948298
   0.35353953 -18.63728377 -18.66777356 -18.59521909  -3.59692979
  10.99765467]","[ -3.98376823   7.37780824  -5.25061547   1.53549346 -17.35894848
  -0.34736029  13.5786988   13.52505213  13.61844499  -3.18240515
  10.82624375]","[ -3.66503758   7.05763359  -4.58002495   0.68826937 -14.13137906
  -0.51315258  10.66632338  10.63597121  10.70327436  -0.02728615
   9.21291458]","[-2.26231496  4.52501347 -4.87992995  2.17042821  0.8427287   2.99736311
 -3.32121728 -3.34526665 -3.26958648 -0.98236663  9.75803496]","[ -3.77886878   7.25176687  -5.61231215   1.55628956  15.33983131
   0.39939802 -18.87683498 -18.91366797 -18.82850034   1.21489344
   8.56720932]","[  0.36722589   0.51785811  -6.21742758   3.27171256   1.58146803
   1.18136364  -3.20794362  -3.29855925  -3.21649647 -15.06277667
  15.67425947]","[-3.41569672e+00  6.76000937e+00 -5.24346302e+00  1.26452965e+00
 -1.78606175e+02 -3.75999684e-02  1.75183905e+02  1.75132925e+02
  1.75228572e+02  5.81718743e-01  9.05246911e+00]","[-2.85316215e+00  5.90702768e+00 -5.78215979e+00  1.26208345e+00
 -1.82926981e+03 -3.89320487e-03  1.82575342e+03  1.82570882e+03
  1.82581090e+03 -7.01600454e+00  1.26595226e+01]",3701.8665662786248,0.9003,2,0.0025,7,0.1194,2,0.001,6,0.8987999999999999,0.90029,0.89848,0.8993599999999999,0.8976300000000001,0.8986600000000001,0.89972,0.8996000000000001,0.89972,0.8985700000000001
Batch_10,"[-7.54603574e+00  1.28971110e+01 -1.10370764e+00 -1.24553125e+00
  6.67141137e+02  1.01622822e-02 -6.71943529e+02 -6.72027600e+02
 -6.71977564e+02  6.71381071e-01  7.94237100e+00]","[-1.05821693e+01  1.73379378e+01 -3.54569512e-01 -1.05793986e+00
  5.16556333e+02  1.14764946e-02 -5.22893127e+02 -5.22949021e+02
 -5.22928670e+02  1.65904838e+00  7.20534084e+00]","[ -3.73806824   8.90705836   4.58231868  -5.15957356  -2.37927868
 -11.30988522  -1.6989886   -1.76028511  -1.73258302   1.50756521
   7.50285736]","[-9.30891659e+00  1.62116947e+01 -2.10055331e+00 -1.29764780e+00
  1.64945099e+03  5.95854229e-03 -1.65580743e+03 -1.65587710e+03
 -1.65586066e+03  9.50775683e-01  7.72710844e+00]","[-5.51865376e+00  1.00118368e+01 -1.40093426e+00 -1.09667344e+00
  1.26730466e+03  5.94688153e-03 -1.27109279e+03 -1.27113591e+03
 -1.27111452e+03  1.11245896e+00  7.59622287e+00]","[-4.99074419e+00  8.45919950e+00  1.15769213e+00 -1.01503627e+00
  3.24803243e+02  8.71853880e-03 -3.27585284e+02 -3.27655674e+02
 -3.27624964e+02  1.51838776e+00  7.33525568e+00]","[-9.18325065e+00  1.53852282e+01 -1.30730297e+00 -9.94099380e-01
  6.76412123e+02  9.94529285e-03 -6.82234315e+02 -6.82289868e+02
 -6.82223105e+02  4.85404504e-01  8.05115126e+00]","[-4.75470192e+00  8.31749941e+00  3.64155149e-01 -1.03507510e+00
  5.17812011e+02  8.33107769e-03 -5.20539056e+02 -5.20576922e+02
 -5.20564849e+02  2.44726791e+00  6.60283012e+00]","[-5.18322843e-01  2.40974624e+00 -8.74785072e-01 -1.06080229e+00
  9.71366062e+02  7.40383037e-03 -9.72309704e+02 -9.72373325e+02
 -9.72329342e+02  1.53170363e+00  7.45442448e+00]","[-8.54873254e+00  1.54439160e+01 -2.99209018e+00 -7.70106612e-01
  1.82407301e+03  5.46038798e-03 -1.83022154e+03 -1.83028430e+03
 -1.83021976e+03  1.73563421e+00  6.99652555e+00]",6388.129531219269,0.9524,10,0.0004,7,0.1639,3,0.0007,6,0.95063,0.9508699999999999,0.9513499999999999,0.9517300000000001,0.9510400000000001,0.9499299999999999,0.9518800000000003,0.94873,0.9475999999999999,0.95235
